"R0000100","R0173600","R0214900","R0406300","R0618800","R0898500","R1144700","R1519900","R1890600","R2257700","R2445100","R2870600","R3074300","R3401000"
83,3,1,7,1,2,1,1,1,1,1,2,7,3
84,3,5,5,5,3,3,3,6,7,7,7,7,7
85,3,3,3,1,7,7,1,3,7,-5,7,7,6
86,7,4,4,4,4,4,4,4,4,5,4,4,3
87,3,5,3,3,1,1,-5,1,1,1,1,3,1
88,3,3,1,1,1,1,1,1,1,1,2,1,1
89,7,1,5,1,1,1,1,1,1,1,1,1,1
90,1,5,1,1,3,1,1,1,1,1,1,1,1
91,5,5,7,7,3,1,5,5,1,1,1,1,1
92,5,1,1,1,1,3,1,1,1,1,4,1,1
93,1,7,1,1,1,1,8,8,8,1,1,1,1
94,1,1,1,1,1,2,1,1,1,2,-5,1,1
95,5,1,1,1,1,1,1,1,7,4,4,4,1
96,6,1,1,4,1,1,1,1,1,7,1,2,1
97,5,1,1,1,3,1,1,1,2,1,1,2,2
98,6,6,2,4,3,1,1,1,1,1,4,4,4
99,5,1,1,-5,1,-5,-5,1,1,3,1,4,1
100,5,3,1,1,1,1,-5,1,7,7,1,1,1
101,1,2,3,1,1,1,1,1,1,1,2,1,1
102,5,5,5,3,1,1,1,1,1,1,1,1,1
103,1,3,1,1,1,1,1,5,1,1,1,2,1
104,5,1,1,1,1,1,1,-5,-5,-5,-5,-5,-5
105,6,1,1,2,1,1,1,1,1,1,1,1,1
106,1,1,1,1,5,3,1,1,1,1,1,1,1
107,1,1,1,1,1,1,1,1,1,1,1,1,1
108,1,1,1,1,1,5,1,5,1,1,1,1,1
109,5,5,5,1,1,1,1,1,1,1,1,1,1
110,1,1,1,1,1,1,1,1,1,1,1,1,1
111,5,1,1,1,1,4,4,4,4,6,4,4,4
112,5,3,1,5,4,4,1,1,1,1,1,1,1
113,1,5,1,7,8,8,8,8,3,-5,-5,-5,-5
114,1,1,1,1,1,1,1,1,-5,1,-5,1,1
115,5,1,5,5,3,1,1,1,-5,-5,-5,-5,-5
116,5,5,3,1,1,5,1,-5,-5,-5,-5,-5,-5
117,1,2,5,3,1,1,1,1,1,1,1,1,1
118,5,1,1,1,3,1,1,1,1,-5,-5,1,1
119,1,1,1,3,7,1,3,1,1,1,2,1,1
120,1,1,2,2,1,1,1,1,1,1,1,1,1
121,5,2,1,5,1,1,1,1,1,1,1,1,1
122,1,3,1,3,1,2,1,1,1,1,1,1,1
123,1,1,1,1,1,1,1,1,-5,1,1,2,1
124,5,1,3,5,1,5,3,1,1,3,3,3,4
125,1,1,1,1,1,1,1,1,1,-5,-5,1,1
126,1,1,1,1,1,1,1,1,1,1,1,1,1
127,1,3,7,7,7,7,3,3,3,-5,-5,-5,-5
128,5,1,1,1,1,1,1,1,2,1,1,1,1
129,1,1,5,5,5,1,1,1,1,1,1,1,1
130,6,5,5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
131,6,7,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
132,6,5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
133,5,1,1,1,1,1,1,1,1,1,1,1,1
134,1,1,1,1,1,1,1,1,1,-5,1,1,1
135,1,5,3,1,1,3,1,1,1,1,1,1,1
136,5,7,1,-5,7,4,4,4,1,1,1,1,1
137,5,1,3,3,1,1,1,1,1,1,2,1,1
138,5,5,1,1,1,1,1,1,1,1,1,1,1
139,1,1,1,1,1,8,1,1,1,1,1,1,1
140,5,5,5,1,1,1,1,1,1,1,1,1,2
141,5,5,1,5,5,5,7,1,5,1,1,3,1
142,1,1,1,1,1,1,1,1,-5,-5,1,1,1
143,5,1,1,1,1,7,1,5,1,-5,-5,-5,-5
144,5,1,1,2,1,3,1,1,1,1,1,1,1
145,1,3,1,3,3,7,1,1,1,1,1,1,1
146,1,1,1,5,3,1,8,8,8,-5,8,8,8
147,5,1,1,1,1,1,1,1,1,1,1,1,4
148,1,1,3,1,1,1,1,1,1,1,1,1,1
149,5,1,3,1,1,1,1,1,1,1,1,1,1
150,1,1,1,1,1,1,1,1,1,1,1,1,1
151,5,1,1,1,1,1,1,3,3,1,1,1,1
152,5,1,1,1,1,1,1,1,1,1,1,1,1
153,5,5,-5,-5,-5,-5,-5,4,1,4,4,1,1
154,5,5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
155,1,1,3,1,1,1,1,1,1,1,1,1,1
156,1,1,-5,2,1,2,1,1,1,-5,-5,-5,2
157,5,1,1,1,1,1,1,1,1,1,4,1,2
158,5,1,1,1,1,1,1,1,1,1,1,1,1
159,5,1,1,1,1,1,1,1,1,1,1,1,1
160,5,1,1,1,1,1,1,1,1,1,1,1,1
161,5,5,1,1,3,3,1,3,1,1,1,1,1
162,1,1,1,1,1,1,1,1,1,1,1,1,1
163,1,1,1,1,1,1,1,1,1,2,1,1,1
164,5,2,1,1,1,-5,-5,1,1,1,1,1,1
165,5,1,1,1,1,1,1,1,1,1,1,1,1
